season,feature_set,model_label,input_start_date,input_end_date,target_horizon_index,target_date,n_plots,observed_total_yield_g,predicted_total_yield_g,last_observed_total_yield_baseline_g,mean_observed_history_total_yield_baseline_g,aggregate_error_g,aggregate_abs_error_g,validation_scope,evaluation_warning
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,2024-01-08,2024-02-06,1,2024-02-13,40,16988.0,16800.550186741362,15791.0,8219.2,-187.44981325863773,187.44981325863773,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,2024-01-08,2024-02-06,2,2024-02-20,40,11512.0,11451.93137254902,15791.0,8219.2,-60.068627450980784,60.068627450980784,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,2024-01-08,2024-02-06,3,2024-02-27,40,15085.0,14963.31512605042,15791.0,8219.2,-121.68487394957992,121.68487394957992,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,ElasticNet,2024-01-08,2024-02-06,1,2024-02-13,40,16988.0,16962.7592484043,15791.0,8219.2,-25.240751595698384,25.240751595698384,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,ElasticNet,2024-01-08,2024-02-06,2,2024-02-20,40,11512.0,11363.027843071017,15791.0,8219.2,-148.97215692898317,148.97215692898317,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,ElasticNet,2024-01-08,2024-02-06,3,2024-02-27,40,15085.0,15666.727893933616,15791.0,8219.2,581.7278939336156,581.7278939336156,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Extra Trees,2024-01-08,2024-02-06,1,2024-02-13,40,16988.0,17202.157666888666,15791.0,8219.2,214.15766688866643,214.15766688866643,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Extra Trees,2024-01-08,2024-02-06,2,2024-02-20,40,11512.0,11461.693293604543,15791.0,8219.2,-50.306706395456786,50.306706395456786,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Extra Trees,2024-01-08,2024-02-06,3,2024-02-27,40,15085.0,15237.366928286685,15791.0,8219.2,152.36692828668492,152.36692828668492,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Gradient Boosting,2024-01-08,2024-02-06,1,2024-02-13,40,16988.0,17619.336313777894,15791.0,8219.2,631.3363137778942,631.3363137778942,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Gradient Boosting,2024-01-08,2024-02-06,2,2024-02-20,40,11512.0,11511.451420070556,15791.0,8219.2,-0.5485799294438038,0.5485799294438038,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Gradient Boosting,2024-01-08,2024-02-06,3,2024-02-27,40,15085.0,15292.513086720977,15791.0,8219.2,207.5130867209773,207.5130867209773,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,HistGradientBoosting,2024-01-08,2024-02-06,1,2024-02-13,40,16988.0,16988.0,15791.0,8219.2,0.0,0.0,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,HistGradientBoosting,2024-01-08,2024-02-06,2,2024-02-20,40,11512.0,11512.0,15791.0,8219.2,0.0,0.0,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,HistGradientBoosting,2024-01-08,2024-02-06,3,2024-02-27,40,15085.0,15085.0,15791.0,8219.2,0.0,0.0,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,2024-01-08,2024-02-06,1,2024-02-13,40,16988.0,15791.0,15791.0,8219.2,-1197.0,1197.0,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,2024-01-08,2024-02-06,2,2024-02-20,40,11512.0,15791.0,15791.0,8219.2,4279.0,4279.0,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,2024-01-08,2024-02-06,3,2024-02-27,40,15085.0,15791.0,15791.0,8219.2,706.0,706.0,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,2024-01-08,2024-02-06,1,2024-02-13,40,16988.0,8219.2,15791.0,8219.2,-8768.8,8768.8,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,2024-01-08,2024-02-06,2,2024-02-20,40,11512.0,8219.2,15791.0,8219.2,-3292.7999999999993,3292.7999999999993,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,2024-01-08,2024-02-06,3,2024-02-27,40,15085.0,8219.2,15791.0,8219.2,-6865.799999999999,6865.799999999999,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Random Forest,2024-01-08,2024-02-06,1,2024-02-13,40,16988.0,17160.345568505567,15791.0,8219.2,172.34556850556692,172.34556850556692,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Random Forest,2024-01-08,2024-02-06,2,2024-02-20,40,11512.0,11730.967025696526,15791.0,8219.2,218.96702569652552,218.96702569652552,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Random Forest,2024-01-08,2024-02-06,3,2024-02-27,40,15085.0,15411.7195984756,15791.0,8219.2,326.7195984755999,326.7195984755999,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Ridge,2024-01-08,2024-02-06,1,2024-02-13,40,16988.0,17174.856951204663,15791.0,8219.2,186.85695120466335,186.85695120466335,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
2324,paper_informed_nonreactive,Ridge,2024-01-08,2024-02-06,2,2024-02-20,40,11512.0,11380.697622520513,15791.0,8219.2,-131.3023774794874,131.3023774794874,full_field_reconstructed_oof_curve_illustrative_not_for_selection,Illustrative only: summing all out-of-fold predictions can create arithmetic artefacts for fold-wise training-mean baselines. Use aggregate_fold metrics for selection.
